Date,City,Lon,Lat,Station,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2022-03-01,澎湖縣,119.667467,23.25695,467300,1,1012.1,1017.3,20.1,18.9,93,2.7,10,3.3,10,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,2,1011.7,1016.9,20.4,19.1,92,2.5,30,3.1,10,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,3,1011.5,1016.7,20.4,18.7,90,1.7,10,3.0,360,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,4,1011.4,1016.6,19.9,17.7,87,2.8,50,3.1,60,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,5,1011.6,1016.8,20.6,17.2,81,3.6,80,4.0,80,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,6,1012.2,1017.4,20.4,18.0,86,4.4,50,5.1,40,0.0,0.0,0.0,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,7,1013.1,1018.3,20.1,18.6,91,3.6,360,5.6,20,0.0,0.0,0.2,0.09,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,8,1013.8,1019.0,20.2,18.0,87,4.4,360,5.8,360,0.0,0.0,0.9,0.74,12.0,...,5.0
2022-03-01,澎湖縣,119.667467,23.25695,467300,9,1014.1,1019.3,20.8,16.8,78,4.3,30,6.5,20,0.0,0.0,0.8,1.47,15.0,...,5.0
2022-03-01,澎湖縣,119.667467,23.25695,467300,10,1014.0,1019.2,22.5,17.4,73,4.1,50,6.3,30,0.0,0.0,1.0,2.36,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,11,1013.8,1019.0,21.5,17.5,78,3.4,10,5.3,10,0.0,0.0,1.0,3.05,20.0,...,5.0
2022-03-01,澎湖縣,119.667467,23.25695,467300,12,1012.9,1018.1,22.6,17.3,72,4.2,20,6.8,30,0.0,0.0,1.0,3.31,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,13,1011.8,1017.0,22.3,18.7,80,4.3,30,6.1,30,0.0,0.0,1.0,3.37,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,14,1011.0,1016.2,22.6,19.0,80,4.4,30,6.3,30,0.0,0.0,1.0,3.25,30.0,...,2.0
2022-03-01,澎湖縣,119.667467,23.25695,467300,15,1010.4,1015.5,22.7,18.1,75,4.1,30,6.5,30,0.0,0.0,1.0,2.66,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,16,1010.1,1015.2,22.7,17.8,74,4.5,10,6.5,20,0.0,0.0,1.0,1.9,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,17,1010.2,1015.4,22.0,18.2,79,4.4,10,6.0,20,0.0,0.0,1.0,1.07,30.0,...,0.0
2022-03-01,澎湖縣,119.667467,23.25695,467300,18,1010.2,1015.4,21.2,18.2,83,4.3,360,5.2,10,0.0,0.0,0.8,0.28,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,19,1010.5,1015.7,20.6,17.4,82,4.2,330,6.0,350,0.0,0.0,0.0,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,20,1011.1,1016.3,21.0,17.8,82,5.0,350,6.1,340,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,21,1011.8,1017.0,20.8,18.4,86,3.6,360,6.3,350,0.0,0.0,...,0.0,...,...,...
2022-03-01,澎湖縣,119.667467,23.25695,467300,22,1012.5,1017.7,19.7,18.0,90,2.3,80,4.0,360,0.0,0.0,...,0.0,...,...,...
